observation_date,BAMLC0A0CMEY
2012-04-09,3.43
2012-04-10,3.41
2012-04-11,3.44
2012-04-12,3.45
2012-04-13,3.41
2012-04-16,3.39
2012-04-17,3.41
2012-04-18,3.40
2012-04-19,3.38
2012-04-20,3.39
2012-04-23,3.37
2012-04-24,3.39
2012-04-25,3.40
2012-04-26,3.38
2012-04-27,3.36
2012-04-30,3.38
2012-05-01,3.40
2012-05-02,3.37
2012-05-03,3.36
2012-05-04,3.33
2012-05-07,3.33
2012-05-08,3.32
2012-05-09,3.33
2012-05-10,3.34
2012-05-11,3.33
2012-05-14,3.33
2012-05-15,3.34
2012-05-16,3.37
2012-05-17,3.39
2012-05-18,3.44
2012-05-21,3.46
2012-05-22,3.49
2012-05-23,3.46
2012-05-24,3.49
2012-05-25,3.47
2012-05-28,3.47
2012-05-29,3.46
2012-05-30,3.42
2012-05-31,3.43
2012-06-01,3.40
2012-06-04,3.44
2012-06-05,3.46
2012-06-06,3.49
2012-06-07,3.46
2012-06-08,3.45
2012-06-11,3.42
2012-06-12,3.48
2012-06-13,3.44
2012-06-14,3.43
2012-06-15,3.40
2012-06-18,3.39
2012-06-19,3.39
2012-06-20,3.40
2012-06-21,3.37
2012-06-22,3.39
2012-06-25,3.35
2012-06-26,3.37
2012-06-27,3.36
2012-06-28,3.34
2012-06-29,3.35
2012-06-30,3.36
2012-07-02,3.29
2012-07-03,3.31
2012-07-04,3.31
2012-07-05,3.28
2012-07-06,3.25
2012-07-09,3.22
2012-07-10,3.21
2012-07-11,3.20
2012-07-12,3.18
2012-07-13,3.17
2012-07-16,3.12
2012-07-17,3.13
2012-07-18,3.08
2012-07-19,3.08
2012-07-20,3.05
2012-07-23,3.05
2012-07-24,3.04
2012-07-25,3.04
2012-07-26,3.04
2012-07-27,3.08
2012-07-30,3.03
2012-07-31,3.03
2012-08-01,3.05
2012-08-02,3.02
2012-08-03,3.07
2012-08-06,3.04
2012-08-07,3.08
2012-08-08,3.09
2012-08-09,3.09
2012-08-10,3.06
2012-08-13,3.06
2012-08-14,3.10
2012-08-15,3.15
2012-08-16,3.16
2012-08-17,3.15
2012-08-20,3.13
2012-08-21,3.12
2012-08-22,3.06
2012-08-23,3.03
2012-08-24,3.04
2012-08-27,3.02
2012-08-28,3.01
2012-08-29,3.02
2012-08-30,2.99
2012-08-31,2.97
2012-09-03,2.97
2012-09-04,2.98
2012-09-05,2.98
2012-09-06,3.02
2012-09-07,2.99
2012-09-10,2.99
2012-09-11,2.98
2012-09-12,3.00
2012-09-13,2.98
2012-09-14,2.99
2012-09-17,2.96
2012-09-18,2.94
2012-09-19,2.92
2012-09-20,2.92
2012-09-21,2.91
2012-09-24,2.88
2012-09-25,2.87
2012-09-26,2.85
2012-09-27,2.86
2012-09-28,2.84
2012-09-30,2.86
2012-10-01,2.84
2012-10-02,2.82
2012-10-03,2.82
2012-10-04,2.83
2012-10-05,2.85
2012-10-08,2.85
2012-10-09,2.83
2012-10-10,2.82
2012-10-11,2.80
2012-10-12,2.77
2012-10-15,2.75
2012-10-16,2.76
