Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year),Inflation Rate,S&P 500 (Real),T. Bill (Real),T.Bond (Real),Year.1,Nominal value of $100 invested in 1928,Real value of $100 invested in 1928,Unnamed: 14,Stocks,T. Bills,T. Bonds
1970.0,0.03561144905496419,0.06391,0.16754737183412338,0.0557029,-0.019031349582383283,0.0077740621911712715,0.10594313213890327,1970.0,3510.489062543298,1852.0694371397046,75th percentile,0.2597,0.0506,0.0854
1971.0,0.14221150298426474,0.0433425702811245,0.09786896619712297,0.0326633,0.10608317636955311,0.010341483309346255,0.06314320088369851,1971.0,4009.720988337403,2126.979829488622,75th percentile,0.2597,0.0506,0.0854
1972.0,0.18755362915074925,0.0406184,0.02818449050444969,0.0340633,0.14843417143877868,0.006339167050992023,-0.0056851543764778745,1972.0,4761.7587115820115,1673.0593027345308,75th percentile,0.2597,0.0506,0.0854
1973.0,-0.14308047437526472,0.07035443548387096,0.036586646024150085,0.08941179999999999,-0.21341082809573453,-0.017493260598176907,-0.048489610609917855,1973.0,4080.444016268308,1105.9429366804059,75th percentile,0.2597,0.0506,0.0854
1974.0,-0.2590178575089697,0.07845783132530121,0.019886086932378574,0.1209503,-0.3389696737749833,-0.037907540302811626,-0.09015940587876337,1974.0,3023.5361494891954,1414.2638964089808,75th percentile,0.2597,0.0506,0.0854
1975.0,0.36995137106184356,0.05786385542168675,0.03605253602603384,0.07129089999999999,0.2787855950814515,-0.012533518746694394,-0.032893366287313874,1975.0,4142.097493447771,1667.3308309994754,75th percentile,0.2597,0.0506,0.0854
1976.0,0.23830999002106662,0.049766000000000005,0.1598456074290921,0.0503597,0.1789389768296199,-0.0005652349380883548,0.10423658431401361,1976.0,5129.200705777594,1453.8657548288083,75th percentile,0.2597,0.0506,0.0854
1977.0,-0.06979704075935232,0.05260963855421687,0.012899606071070449,0.0667808,-0.1280280267130346,-0.013284042462878176,-0.05050821492937407,1977.0,4771.197675053536,1420.7905517093577,75th percentile,0.2597,0.0506,0.0854
1978.0,0.0650928391167193,0.07178306451612904,-0.007775806907508648,0.0898876,-0.022749832994962582,-0.01661137853469563,-0.08960869626143897,1978.0,5081.768477709861,1486.8366434957622,75th percentile,0.2597,0.0506,0.0854
1979.0,0.18519490167516386,0.10054274193548388,0.006707203124723546,0.1325479,0.04648545255804537,-0.02825942996717068,-0.11111291352469643,1979.0,6022.886091275286,1743.3228529735752,75th percentile,0.2597,0.0506,0.0854
1980.0,0.3173524550676301,0.1139188,-0.02989744251999403,0.1235371,0.17250463297351737,-0.008560731995409965,-0.1365638415678433,1980.0,7934.263778934181,1525.4006895408295,75th percentile,0.2597,0.0506,0.0854
1981.0,-0.04702390247495576,0.14036184738955823,0.08199215335892354,0.08912039999999999,-0.1250039045039978,0.04704846901183579,-0.006544957418001207,1981.0,7561.163732783006,1769.188883565796,75th percentile,0.2597,0.0506,0.0854
1982.0,0.20419055079559353,0.10603413654618475,0.32814549486295586,0.0382572,0.1598191188036966,0.06527952471332221,0.2792066309416932,1982.0,9105.081920035633,2085.3992085015984,75th percentile,0.2597,0.0506,0.0854
1983.0,0.22337155858930619,0.0861764,0.032002094451429264,0.037871,0.17873180635098795,0.04654277843778276,-0.005654754346706703,1983.0,11138.898259597305,2127.5458297883183,75th percentile,0.2597,0.0506,0.0854
1984.0,0.0614614199963621,0.09540281124497993,0.13733364344102345,0.040433899999999995,0.020210337241377996,0.052832679947260264,0.09313397366331833,1984.0,11823.510763827162,2690.093848849952,75th percentile,0.2597,0.0506,0.0854
1985.0,0.3123514948576895,0.07471129032258064,0.2571248821260641,0.037914699999999996,0.2644117044085508,0.035452422364362635,0.21120250260070894,1985.0,15516.60202537456,3150.215698595566,75th percentile,0.2597,0.0506,0.0854
1986.0,0.18494578758046187,0.059692800000000004,0.24284215141767618,0.011872100000000002,0.17104304741721998,0.04725962895903568,0.2282601243948481,1986.0,18386.332207530046,3194.9208439163476,75th percentile,0.2597,0.0506,0.0854
1987.0,0.05812721641821871,0.0577736,-0.04960508937926228,0.0433213,0.01419113787691173,0.013852204493476794,-0.08906785414930396,1987.0,19455.07851889441,3565.949912219657,75th percentile,0.2597,0.0506,0.0854
1988.0,0.16537192812044688,0.0666844,0.08223595843484167,0.0441176,0.11613091103956763,0.021613274213555966,0.03650772521681622,1988.0,22672.402365298665,4480.463606069699,75th percentile,0.2597,0.0506,0.0854
1989.0,0.31475183638196724,0.08111560000000001,0.17693647159446219,0.046396,0.25645724599670405,0.03318017270708218,0.12475245661724821,1989.0,29808.58264496728,4087.4914221200565,75th percentile,0.2597,0.0506,0.0854
1990.0,-0.03064451612903212,0.0749648,0.06235375333553336,0.0625495,-0.08770792902263103,0.011684443877673534,-0.00018422357214098461,1990.0,28895.113053319994,5169.26148320293,75th percentile,0.2597,0.0506,0.0854
1991.0,0.3023484313487976,0.053756000000000005,0.15004510019517303,0.0298063,0.26465378134586826,0.02325650950086433,0.1167586566475396,1991.0,37631.50515863746,5396.532410266558,75th percentile,0.2597,0.0506,0.0854
1992.0,0.07493727972380064,0.03431314741035857,0.09361637316207942,0.0296671,0.043965840730271655,0.004512183996515651,0.06210674611442801,1992.0,40451.507787137925,5772.154616287273,75th percentile,0.2597,0.0506,0.0854
1993.0,0.0996705147919488,0.029971199999999996,0.14210957589263107,0.028109600000000002,0.06960436396270264,0.0018107018940394237,0.11088309640589955,1993.0,44483.33039239249,5700.620881113397,75th percentile,0.2597,0.0506,0.0854
1994.0,0.013259206774573897,0.04252248995983936,-0.08036655550998592,0.025974,-0.012392900039792543,0.016129541255274882,-0.10364839217171773,1994.0,45073.144068086905,7627.867255161731,75th percentile,0.2597,0.0506,0.0854
1995.0,0.3719519890260631,0.054896,0.23480780112538907,0.0253165,0.3380765734542095,0.028849140728741007,0.20431866757765937,1995.0,61838.18965587012,9052.087492649996,75th percentile,0.2597,0.0506,0.0854
1996.0,0.2268096601886579,0.05005396825396826,0.01428607793401844,0.033788200000000004,0.18671277171538403,0.015734139985316364,-0.01886471722736016,1996.0,75863.6884383998,11847.599448416664,75th percentile,0.2597,0.0506,0.0854
1997.0,0.33103653103653097,0.0506208,0.09939130272977531,0.0169705,0.3088251144320615,0.033088767078297554,0.08104542140580806,1997.0,100977.34069068384,14964.499115538703,75th percentile,0.2597,0.0506,0.0854
1998.0,0.28337953278443584,0.047759600000000006,0.14921431922606215,0.0160692,0.2630828026126919,0.031189214277925092,0.13103942056905393,1998.0,129592.25231742462,17618.34976686594,75th percentile,0.2597,0.0506,0.0854
1999.0,0.20885350992084475,0.04638406374501992,-0.08254214796268576,0.026764,0.17734309921349478,0.019108640101347385,-0.10645693456596239,1999.0,156658.0490724665,15494.691610350072,75th percentile,0.2597,0.0506,0.0854
2000.0,-0.09031818955249278,0.05819800796812749,0.16655267125397488,0.0343602,-0.12053672362151302,0.023045944699078058,0.1278011965792718,2000.0,142508.97770141574,13443.026196522114,75th percentile,0.2597,0.0506,0.0854
