Date,stock_weight,bond_weight,portfolio_value
2021-07-02,0.5,0.5,10072.393417500538
2021-07-06,0.5,0.5,9975.316908248611
2021-07-07,0.5,0.5,9907.079447924438
2021-07-08,0.5,0.5,9846.856627806816
2021-07-09,0.5,0.5,9993.1162460195
2021-07-12,0.5,0.5,10035.210649800412
2021-07-13,0.5,0.5,10141.077482417673
2021-07-14,0.5,0.5,10019.518481414769
2021-07-15,0.5,0.5,9941.552142944804
2021-07-16,0.5,0.5,9948.457979230681
2021-07-19,0.5,0.5,9709.01522582679
2021-07-20,0.5,0.5,9805.014144475606
2021-07-21,0.5,0.5,9931.420488948312
2021-07-22,0.5,0.5,9893.097421685154
2021-07-23,0.5,0.5,9969.496296518657
2021-07-26,0.5,0.5,9952.84454695019
2021-07-27,0.5,0.5,9895.177411629205
2021-07-28,0.5,0.5,9919.5305772007
2021-07-29,0.5,0.5,9935.81799239896
2021-07-30,0.5,0.5,9865.253032932687
2021-08-02,0.5,0.5,9825.502544326477
2021-08-03,0.5,0.5,9827.290996530726
2021-08-04,0.5,0.5,9844.41899157693
2021-08-05,0.5,0.5,9936.077095220176
2021-08-06,0.5,0.5,10075.216785390314
2021-08-09,0.5,0.5,10123.720423083038
2021-08-10,0.5,0.5,10180.226819204343
2021-08-11,0.5,0.5,10209.900299505869
2021-08-12,0.5,0.5,10224.046896605636
2021-08-13,0.5,0.5,10107.53064615937
2021-08-16,0.5,0.5,10045.548608391317
2021-08-17,0.5,0.5,10050.579977386886
2021-08-18,0.5,0.5,10067.047913004155
2021-08-19,0.5,0.5,10026.694514290539
2021-08-20,0.5,0.5,10080.966076844034
2021-08-23,0.5,0.5,10107.525867660172
2021-08-24,0.5,0.5,10136.092858258166
2021-08-25,0.5,0.5,10221.774742495501
2021-08-26,0.5,0.5,10190.125089538398
2021-08-27,0.5,0.5,10134.581671017264
2021-08-30,0.5,0.5,10110.887935023551
2021-08-31,0.5,0.5,10155.301664670487
2021-09-01,0.5,0.5,10161.710906308163
2021-09-02,0.5,0.5,10146.094328442281
2021-09-03,0.5,0.5,10192.169553704525
2021-09-07,0.5,0.5,10261.418857774186
2021-09-08,0.5,0.5,10195.744091609355
2021-09-09,0.5,0.5,10129.176191177048
2021-09-10,0.5,0.5,10169.533850347601
2021-09-13,0.5,0.5,10088.028809156878
2021-09-14,0.5,0.5,10003.781820557278
2021-09-15,0.5,0.5,10030.62855164811
2021-09-16,0.5,0.5,10080.427672173935
2021-09-17,0.5,0.5,10114.959669218957
2021-09-20,0.5,0.5,9961.919500146761
2021-09-21,0.5,0.5,9977.935049626614
2021-09-22,0.5,0.5,10027.842837914923
2021-09-23,0.5,0.5,10183.348930841878
2021-09-24,0.5,0.5,10255.626970348552
2021-09-27,0.5,0.5,10248.939837548678
2021-09-28,0.5,0.5,10304.551750982591
2021-09-29,0.5,0.5,10289.36782731586
2021-09-30,0.5,0.5,10334.359815620184
2021-10-01,0.5,0.5,10229.099476699374
2021-10-04,0.5,0.5,10230.448562740903
2021-10-05,0.5,0.5,10319.290248260588
2021-10-06,0.5,0.5,10339.078443018507
2021-10-07,0.5,0.5,10487.472004371166
